"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10"
"V4" -1150.51437245975 480.799350510702 -838.999884697422 303.364717063239 -985.40217682649 2894.37492488213 -2182.31960884794 729.365115223086 1189.7520730782 1.25714540271834e-07
"V5" -798.030491906212 386.229024857027 -503.479477326152 182.037348472015 -509.812863114411 731.038270007439 -158.307249234264 -1648.18017526721 -3383.53275438651 7.72297037790588e-08
"V6" 2277.67394735008 -4183.31985964607 -554.474913059391 846.592912664628 163.757586862524 214.649166083958 -85.651577035217 74.7336472688873 -33.7516071159178 -2.90549834501293e-08
"V7" -2719.86442880448 -1215.25175330152 3733.07976572521 -90.5093979162117 -50.4042219309563 -372.861211393236 164.313451299218 192.529456645922 209.01252091324 -4.75794204063595e-08
"V8" -1763.57657888936 -21.1228336184843 -1735.35018500695 203.619154897065 1055.45325021606 -1139.22806534381 337.650303457682 -2496.92374101463 1797.14033106555 -2.7237825097891e-08
"V9" 2126.31311459826 2097.74355907464 1312.40597912391 2603.52986027661 2125.75940822457 115.793308168247 -227.13224030315 48.5090499606412 99.6104703633597 -4.20713181364624e-08
"V10" 1625.3808305652 521.032411141772 430.754728616906 -3922.33678267663 1582.50223632622 416.823490803567 -269.459659044275 -41.2088423214787 45.2157914359546 7.28454590225872e-09
"V11" 1425.43988435374 944.171728847453 164.278815969984 -196.350047526122 -2705.26631584212 -2586.2774682166 -1540.38759406358 96.0157207697173 233.470462081223 -2.08765450744322e-08
"V12" 743.300392181372 853.512614146483 -112.67990181286 -31.1082642604692 -1841.14522572965 1067.84167566424 3472.1665260869 270.524565691168 632.890932933642 2.5124857543208e-08
"V13" -1766.12229698881 136.205757987954 -1895.53492753322 101.160499005882 1164.5583218143 -1342.15409065592 489.127647684626 2774.63520304398 -789.808220368725 -6.85335670262633e-08
