chr pos between within.both pubescens formosa
Chr_01 50000 0.137940504 0.115325395 0.103543822 0.127106968
Chr_01 100000 0.1319625696 0.1138765595 0.096500712 0.131252407
Chr_01 150000 0.118685666 0.1075149205 0.089288862 0.125740979
Chr_01 200000 0.1192389544 0.106971117 0.09076313 0.123179104
Chr_01 250000 0.1165661448 0.105962923 0.088880643 0.123045203
Chr_01 300000 0.109805404 0.101852078 0.082924957 0.120779199
Chr_01 350000 0.1169298592 0.1041853195 0.084449165 0.123921474
Chr_01 400000 0.1189811088 0.103936961 0.087242776 0.120631146
Chr_01 450000 0.1163044236 0.1052641905 0.089769859 0.120758522
Chr_01 500000 0.1205414584 0.1082040085 0.088228508 0.128179509
Chr_01 550000 0.1262107532 0.113074431 0.086508433 0.139640429
Chr_01 600000 0.1328939068 0.1155828795 0.089154708 0.142011051
Chr_01 650000 0.1245597808 0.1085597115 0.089709247 0.127410176
Chr_01 700000 0.1195845784 0.1095602075 0.096840664 0.122279751
Chr_01 750000 0.1453373884 0.1118948255 0.100538574 0.123251077
Chr_01 800000 0.1372157652 0.1026016585 0.091329977 0.11387334
Chr_01 850000 0.1089289712 0.091240608 0.081902398 0.100578818
Chr_01 900000 0.1049673704 0.0910835875 0.08506606 0.097101115
Chr_01 950000 0.1098200748 0.0963589325 0.088198996 0.104518869
Chr_01 1000000 0.112704506 0.1011025355 0.088523156 0.113681915
Chr_01 1050000 0.1101030592 0.1014004015 0.085807476 0.116993327
Chr_01 1100000 0.102617434 0.0948926305 0.080295414 0.109489847
Chr_01 1150000 0.1046143312 0.089945824 0.080375291 0.099516357
Chr_01 1200000 0.1215992604 0.096737689 0.087938361 0.105537017
Chr_01 1250000 0.1327143276 0.1075609555 0.091379184 0.123742727
Chr_01 1300000 0.1263662644 0.103558781 0.086730925 0.120386637
Chr_01 1350000 0.1296679444 0.1032623365 0.091233852 0.115290821
Chr_01 1400000 0.1465351144 0.1071861785 0.098064217 0.11630814
Chr_01 1450000 0.1550516512 0.1087544485 0.093700634 0.123808263
Chr_01 1500000 0.1459474812 0.1072311585 0.088193394 0.126268923
Chr_01 1550000 0.120389044 0.101155227 0.083356104 0.11895435
Chr_01 1600000 0.1182519168 0.1036286435 0.083400957 0.12385633
Chr_01 1650000 0.1183825664 0.10495846 0.089188796 0.120728124
Chr_01 1700000 0.122488608 0.1067511225 0.094233066 0.119269179
Chr_01 1750000 0.1284598732 0.1088885315 0.095722664 0.122054399
Chr_01 1800000 0.1199255484 0.1056337005 0.093863061 0.11740434
Chr_01 1850000 0.1066505376 0.0960389295 0.084594702 0.107483157
Chr_01 1900000 0.1192950368 0.0958088185 0.081523667 0.11009397
Chr_01 1950000 0.127755134 0.1053974835 0.090576905 0.120218062
Chr_01 2000000 0.1107907952 0.096291015 0.082326276 0.110255754
Chr_01 2050000 0.0958570448 0.0841421875 0.074390395 0.09389398
Chr_01 2100000 0.0957977072 0.086256719 0.077036067 0.095477371
Chr_01 2150000 0.1277265648 0.108765381 0.095748674 0.121782088
Chr_01 2200000 0.1260617064 0.1075315895 0.094734782 0.120328397
Chr_01 2250000 0.1269028916 0.1068354375 0.092312468 0.121358407
Chr_01 2300000 0.1439419012 0.1076451285 0.096157574 0.119132683
Chr_01 2350000 0.1562578788 0.106105782 0.094865616 0.117345948
Chr_01 2400000 0.1451128248 0.1068895265 0.094024089 0.119754964
Chr_01 2450000 0.1161466436 0.101622055 0.090051142 0.113192968
Chr_01 2500000 0.1115026468 0.099959527 0.090816239 0.109102815
Chr_01 2550000 0.1181514484 0.105719425 0.10134842 0.11009043
Chr_01 2600000 0.1223233368 0.10798043 0.10277147 0.11318939
Chr_01 2650000 0.120827608 0.1064949795 0.08831251 0.124677449
Chr_01 2700000 0.117872734 0.0953131875 0.084392017 0.106234358
Chr_01 2750000 0.1380155616 0.098895253 0.090382041 0.107408465
Chr_01 2800000 0.158378032 0.1064983255 0.094931647 0.118065004
Chr_01 2850000 0.1499983812 0.10901804 0.095605022 0.122431058
Chr_01 2900000 0.1330943508 0.1052293355 0.095489911 0.11496876
Chr_01 2950000 0.12124256 0.1022974895 0.09315171 0.111443269
Chr_01 3000000 0.1433342832 0.107103886 0.095053119 0.119154653
Chr_01 3050000 0.1396585264 0.1094125465 0.097400064 0.121425029
Chr_01 3100000 0.1331636588 0.115557374 0.101606298 0.12950845
Chr_01 3150000 0.111377204 0.094148286 0.081393282 0.10690329
Chr_01 3200000 0.1058508048 0.0908348795 0.080699775 0.100969984
Chr_01 3250000 0.1105775856 0.103701643 0.088650776 0.11875251
Chr_01 3300000 0.111054546 0.1027988855 0.08659559 0.119002181
Chr_01 3350000 0.1109117552 0.0954303635 0.0863164 0.104544327
Chr_01 3400000 0.1064802536 0.0912348075 0.085803282 0.096666333
Chr_01 3450000 0.1155505716 0.098915525 0.090399315 0.107431735
Chr_01 3500000 0.1240497792 0.102918764 0.090245566 0.115591962
Chr_01 3550000 0.1123067356 0.0980089065 0.087806469 0.108211344
Chr_01 3600000 0.1155482316 0.103847799 0.094601785 0.113093813
Chr_01 3650000 0.1239240732 0.109919619 0.094940121 0.124899117
Chr_01 3700000 0.1312130952 0.108559859 0.089951986 0.127167732
Chr_01 3750000 0.1370316976 0.113186977 0.098813802 0.127560152
Chr_01 3800000 0.1400725932 0.116132632 0.101403027 0.130862237
Chr_01 3850000 0.1393205928 0.111278687 0.094033631 0.128523743
Chr_01 3900000 0.1456543016 0.1115025805 0.097477219 0.125527942
Chr_01 3950000 0.1549026584 0.1144053835 0.100984323 0.127826444
Chr_01 4000000 0.1484020544 0.1150993205 0.104074741 0.1261239
Chr_01 4050000 0.1560878572 0.118485113 0.107919958 0.129050268
Chr_01 4100000 0.1837707868 0.1126657375 0.098275744 0.127055731
Chr_01 4150000 0.1759360196 0.1079744405 0.091450553 0.124498328
Chr_01 4200000 0.1482567548 0.113474171 0.099381147 0.127567195
Chr_01 4250000 0.131587848 0.107339533 0.09337977 0.121299296
Chr_01 4300000 0.1304849516 0.1059737865 0.092140013 0.11980756
Chr_01 4350000 0.1399952076 0.11101002 0.096765627 0.125254413
Chr_01 4400000 0.1483065944 0.115062023 0.097331605 0.132792441
Chr_01 4450000 0.1353971592 0.1096155345 0.091073177 0.128157892
Chr_01 4500000 0.126240364 0.1070715765 0.084768785 0.129374368
Chr_01 4550000 0.1469997176 0.106562351 0.083723374 0.129401328
Chr_01 4600000 0.1473409224 0.1013394205 0.082243955 0.120434886
Chr_01 4650000 0.1303464816 0.103119138 0.092256824 0.113981452
Chr_01 4700000 0.1092222536 0.0936479335 0.081948013 0.105347854
Chr_01 4750000 0.1091943712 0.0949017475 0.077924617 0.111878878
Chr_01 4800000 0.1289373168 0.107064233 0.089360964 0.124767502
Chr_01 4850000 0.1511090872 0.1097040615 0.094547708 0.124860415
Chr_01 4900000 0.1482183632 0.1118210945 0.094637506 0.129004683
Chr_01 4950000 0.1325808176 0.1122185665 0.093990315 0.130446818
Chr_01 5000000 0.1346997512 0.1039987445 0.088231653 0.119765836
Chr_01 5050000 0.1346802484 0.1012508495 0.086287372 0.116214327
Chr_01 5100000 0.1396455496 0.1035141235 0.086198123 0.120830124
Chr_01 5150000 0.1270339828 0.0990464755 0.082726733 0.115366218
